input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,cdn_name,content_type,tech_,cdn,webserver,csp_domains_,tls_subject_org_,final_url,tls_mismatched
*.sumologic.com,"Cloud Log Management, Monitoring, SIEM Tools | Sumo Logic",200,186844,www.sumologic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-06-08T23:59:59Z,CN=sumologic.com,sumologic.com,*.sumologic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,64337f1be87437a9d90267f10aaa5292,4286c359d2728278025f5e9b32e0bfc9bc6382b6d7cf2ce22c7beaec09ad7494,True,ctls,www.sumologic.com,443,https://sumologic.com:443,https,GET,75.2.16.224,/,152666092,75.2.16.224,3300,False,,text/html,YouTube,,AmazonS3,,,https://www.sumologic.com:443/,True
031-9-62.sandbox.topechelon.com,,404,,031-9-62.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,031-9-62.sandbox.topechelon.com,443,https://031-9-62.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
05-4-04.sandbox.topechelon.com,,404,,05-4-04.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,05-4-04.sandbox.topechelon.com,443,https://05-4-04.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
115-6.sandbox.topechelon.com,,404,,115-6.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,115-6.sandbox.topechelon.com,443,https://115-6.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
158-0-8.sandbox.topechelon.com,,404,,158-0-8.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,158-0-8.sandbox.topechelon.com,443,https://158-0-8.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
17-121-114-29.sandbox.topechelon.com,,404,,17-121-114-29.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,17-121-114-29.sandbox.topechelon.com,443,https://17-121-114-29.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
17-121-119-3.sandbox.topechelon.com,,404,,17-121-119-3.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,17-121-119-3.sandbox.topechelon.com,443,https://17-121-119-3.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
17-121-119-76.sandbox.topechelon.com,,404,,17-121-119-76.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,17-121-119-76.sandbox.topechelon.com,443,https://17-121-119-76.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
17-121-124-20.sandbox.topechelon.com,,404,,17-121-124-20.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,17-121-124-20.sandbox.topechelon.com,443,https://17-121-124-20.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
17-121-125-50.sandbox.topechelon.com,,404,,17-121-125-50.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,17-121-125-50.sandbox.topechelon.com,443,https://17-121-125-50.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
17-58-101-36.sandbox.topechelon.com,,404,,17-58-101-36.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,17-58-101-36.sandbox.topechelon.com,80,http://17-58-101-36.sandbox.topechelon.com:80,http,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,https://17-58-101-36.sandbox.topechelon.com/,
19d87.sandbox.topechelon.com,,404,,19d87.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,19d87.sandbox.topechelon.com,80,http://19d87.sandbox.topechelon.com:80,http,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,https://19d87.sandbox.topechelon.com/,
1h.sandbox.topechelon.com,,404,,1h.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,1h.sandbox.topechelon.com,443,https://1h.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
205-185-200-83.sandbox.topechelon.com,,404,,205-185-200-83.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,205-185-200-83.sandbox.topechelon.com,443,https://205-185-200-83.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
205-185-203-21.sandbox.topechelon.com,,404,,205-185-203-21.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,205-185-203-21.sandbox.topechelon.com,443,https://205-185-203-21.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
215-74.sandbox.topechelon.com,,404,,215-74.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,215-74.sandbox.topechelon.com,80,http://215-74.sandbox.topechelon.com:80,http,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,https://215-74.sandbox.topechelon.com/,
23-1.sandbox.topechelon.com,,404,,23-1.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,23-1.sandbox.topechelon.com,443,https://23-1.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
26-0-73.sandbox.topechelon.com,,404,,26-0-73.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,26-0-73.sandbox.topechelon.com,443,https://26-0-73.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
351-8-2.sandbox.topechelon.com,,404,,351-8-2.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,351-8-2.sandbox.topechelon.com,443,https://351-8-2.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
505oia.sandbox.topechelon.com,,404,,505oia.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,505oia.sandbox.topechelon.com,443,https://505oia.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
54-08-1.sandbox.topechelon.com,,404,,54-08-1.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,54-08-1.sandbox.topechelon.com,80,http://54-08-1.sandbox.topechelon.com:80,http,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,https://54-08-1.sandbox.topechelon.com/,
548-39.sandbox.topechelon.com,,404,,548-39.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,548-39.sandbox.topechelon.com,80,http://548-39.sandbox.topechelon.com:80,http,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,https://548-39.sandbox.topechelon.com/,
57-98.sandbox.topechelon.com,,404,,57-98.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,57-98.sandbox.topechelon.com,443,https://57-98.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
5gmec.sandbox.topechelon.com,,404,,5gmec.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,5gmec.sandbox.topechelon.com,443,https://5gmec.sandbox.topechelon.com:443,https,GET,54.162.141.14,/,-1840324437,52.20.64.150,1,False,,,,,,,,,
5sac.sandbox.topechelon.com,,404,,5sac.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T19:02:17Z,2023-07-30T19:02:16Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77c543a360f07828b9a393153e2337e6,e386acdeb660e76dccc731ce83cf0a3bc23dfd8381a198e9b4c09e4c75fb5f0a,True,ctls,5sac.sandbox.topechelon.com,443,https://5sac.sandbox.topechelon.com:443,https,GET,52.20.64.150,/,-1840324437,54.162.141.14,1,False,,,,,,,,,
