new,host,ttl,a,cname,soa,status_code,ns,mx,txt,caa,cdn,cdn-name,has_internal_ips,internal_ips,aaaa
[x],165-137-110-58.viatordandomainsma.uberinternal.com,60.0,69.48.218.1,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],17-121-116-46.viatordandomainsma.uberinternal.com,60.0,69.48.218.1,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],17-121-117-32.viatordandomainsma.uberinternal.com,60.0,69.48.218.1,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],alertmanager-appc.viatordandomainsma.uberinternal.com,60.0,,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],amazing1st.viatordandomainsma.uberinternal.com,60.0,69.48.218.2,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],antivirusrestricted.viatordandomainsma.uberinternal.com,60.0,69.48.218.2,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,"edns126.ultradns.com, edns126.ultradns.net, edns126.ultradns.biz, edns126.ultradns.org",,,,,,,,
[x],api-diyscheduler.viatordandomainsma.uberinternal.com,60.0,,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],api-test-solutions.viatordandomainsma.uberinternal.com,60.0,69.48.218.1,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],appservice-calculatedmetric.viatordandomainsma.uberinternal.com,180.0,69.48.218.1,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
[x],argocd-badges.viatordandomainsma.uberinternal.com,60.0,69.48.218.1,"frontends-cloudflare.uber.com, cloudflare.uber.com","{'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}, {'name': 'uber.com', 'ns': 'edns126.ultradns.com', 'mailbox': 'serviceproviders.uber.com', 'serial': 2019077984, 'refresh': 3600, 'retry': 180, 'expire': 604800, 'minttl': 900}",NOERROR,,,,,,,,,
